title,harga,review
"Smart Watch for Men and Women - Alexa Built-in Smartwatch with Heart Rate, Sleep and Blood Oxygen Monitor,24/7 Heart Rate Auto Image Correction, Portable Smartwatch Dynaudio Speakers (Black)",$31.99,4.3 out of 5 stars
"ENOMIR Smart watch for Women Men with Bluetooth Call,Smartwatch with Alexa Built-in,Heart Rate SpO2 Sleep Monitor,5ATM Waterproof,Step Calorie Activity Trackers and Smartwatches for iOS&Android Phones",$59.99,4.1 out of 5 stars
"S3 Smart Watch (Answer/Make Call) Bluetooth Fitness Tracker with Heart Rate, Blood Oxygen Monitor, Sleep Monitor IP68 Waterproof 1.83-inch HD Color for Men Women Compatible iPhone & Android",$39.99,4.2 out of 5 stars
"AGPTEK Smart Watch for Women, Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor, Pink",$43.99,4.1 out of 5 stars
"Amazfit Bip 5 Smart Watch with Ultra Large Screen, Bluetooth Calling, Alexa Built-in, GPS Tracking, 10-Day Long Battery Life, Health Fitness Tracker with Heart Rate, Blood Oxygen Monitoring- Black",$89.00,4.2 out of 5 stars
"TORJALPH Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate / Sleep Monitor, Black",$18.99,4.1 out of 5 stars
"Fitpolo Smart Watch for Men Women,1.8"" Touchscreen Fitness Tracker Bluetooth Call Alexa SpO2 Heart Rate Monitor Sleep Calorie Step Counter Waterproof Activity Tracker and Smartwatch for Android iPhone",$59.99,4.2 out of 5 stars
"SKG Smart Watch, Fitness Tracker with 5ATM Swimming Waterproof, Health Monitor for Heart Rate, Blood Oxygen, Sleep, 1.7'' Touch Screen Bluetooth Smartwatch Fitness Watch for Android-iPhone iOS, V7",$29.99,4.0 out of 5 stars
"Fitpolo Smart Watch for Women Android & iPhone, Alexa Built-in [1.8"" HD Screen] IP68 Waterproof Fitness Watch with Bluetooth Call (Answer/Make), Heart Rate/Sleep/SpO2 Monitor, 100 Sports Trackers",$53.99,4.1 out of 5 stars
"Fitpolo Fitness Tracker with Heart Rate Monitor, Smart Watch 1.8 inches Color Touch Screen IP68 Waterproof Step Calorie Counter Sleep Monitoring Pedometer Watches Activity Tracker for Women Men Kids",$39.99,4.1 out of 5 stars
"Amazfit Bip 3 Smart Watch for Android iPhone, Health Fitness Tracker with 1.69"" Large Display,14-Day Battery Life, 60+ Sports Modes, Blood Oxygen Heart Rate Monitor, 5 ATM Water-resistant (Black)",$59.32,4.2 out of 5 stars
"Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate / Sleep Monitor, Black",$18.99,4.1 out of 5 stars
"Fossil Gen 6 44mm Touchscreen Smart Watch for Men with Alexa Built-In, Fitness Tracker, Activity Tracker, Sleep Tracker, GPS, Speaker, Music Control, Smartphone Notifications",$219.00,4.1 out of 5 stars
"Smart Watch (Answer/Make Calls), 2024 Newest 1.85 Inch Fitness Tracker, Heart Rate/Sleep Monitor/Pedometer/Calories, Multiple Sports Modes, Waterproof Women's Men's Fitness Watch for Android iPhone",$28.99,3.9 out of 5 stars
"Smart Watch for Men/Women with Bluetooth Call and Message Reminder, 1.85"" HD Touch Screen Fitness Watch, Heart Rate/Sleep/Blood Oxygen/Steps Monitor, 112+ Sport Mode, Activity Trackers for Android iOS",$29.99,4.4 out of 5 stars
"TOOBUR Smart Watch for Women Alexa Built-in, 1.95"" Fitness Tracker with Answer/Make Calls, IP68 Waterproof/Heart Rate/Blood Oxygen/Sleep Tracker/100 Sport Modes, Fitness Watch Compatible Android iOS",$49.99,4.2 out of 5 stars
"Smart Watch for Men Women (Answer/Make Call), 2"" Smartwatch for Android Phones and iPhone Compatible, IP68 Waterproof Fitness Watch with Heart Rate Monitor Blood Oxygen Sleep Tracker, Black",$29.99,4.2 out of 5 stars
"RUIMEN Smart Watches for Women Men (Answer/Make Calls) Compatible with iPhone/Android Phones, 1.85"" HD Screen Fitness Tracker Heart Rate Monitor 100+ Sports Tracker Watch Waterproof (Purple)",$39.99,4.3 out of 5 stars
"Smart Watch (Answer/Make Calls), 1.85"" Smart Watches for Men Women 110+ Sport Modes Fitness Tracker with Sleep Heart Rate Monitor, Pedometer, IP68 Waterproof Fitness Watch for iOS Android Smart Watch",$29.99,4.0 out of 5 stars
"Hvlgmrc Military Smart Watch for Men 1.96 Inches Outdoor Sports Smartwatch with Answer/Make Call,Fitness Watch,Blood Oxygen,Heart Rate and Sleep Monitor Compatible with iPhone and Android Phones",$39.99,4.5 out of 5 stars
"IOWODO Smart Watch for Men Women - 1.85''HD Screen with Make and Answer Calls, with AI Voice Assistant, SpO2/Heart Rate/Sleep Monitor, 100+ Sports Modes, Smartwatch for Android and iOS (2 Straps)",$35.99,4.6 out of 5 stars
"Iaret Smart Watch for Women(Call Receive/Dial), Fitness Tracker Waterproof Smartwatch for Android iOS Phones 1.7"" HD Full Touch Screen Digital Watches with Heart Rate Sleep Monitor Pedometer, Gold",$49.99,4.0 out of 5 stars
